contacto,periodo,categoria,tipo_prestacion,fecha_ingreso,hora_ingreso,domicilio_cgpc,domicilio_barrio,domicilio_calle,domicilio_altura,canal,genero,estado_del_contacto,fecha_cierre_contacto
153,201906,TRANSITO - DENUNCIA VIAL,DENUNCIA,07/06/2019,02:51:37 p.m.,COMUNA 12,VILLA URQUIZA,ROOSEVELT FRANKLIN D. AV.,5801,App,masculino,Cerrado,13/06/2019
154,201906,LIMPIEZA Y RECOLECCION - RESIDUOS VOLUMINOSOS,SERVICIO,08/06/2019,09:55:41 a.m.,COMUNA 13,NUÑEZ,MOLDES,3182,147,femenino,Cerrado,13/06/2019
155,201906,LIMPIEZA Y RECOLECCION - RESIDUOS VOLUMINOSOS,SERVICIO,12/06/2019,10:45:40 a.m.,COMUNA 13,BELGRANO,CUBA,2141,147,femenino,Cerrado,15/06/2019
156,201906,CALLES Y VEREDAS - MARCAS VIALES Y SEÑALES EN CALLE,SOLICITUD,12/06/2019,05:43:05 p.m.,COMUNA 11,VILLA DEVOTO,CHIVILCOY,2762,App,masculino,Cerrado,18/06/2019
157,201906,TRANSITO - DENUNCIA VIAL,DENUNCIA,13/06/2019,05:22:47 p.m.,COMUNA 2,RECOLETA,AYACUCHO,890,App,femenino,Cerrado,19/06/2019
158,201906,TRANSITO - DENUNCIA VIAL,DENUNCIA,14/06/2019,10:26:05 a.m.,COMUNA 1,RETIRO,ANTARTIDA ARGENTINA AV.,1101,App,masculino,Cerrado,21/06/2019
159,201906,ARBOLADO Y ESPACIOS VERDES - PODA DE ARBOL Y DESPEJE DE LUMINARIA,SOLICITUD,14/06/2019,01:04:35 p.m.,COMUNA 13,BELGRANO,VUELTA DE OBLIGADO,2722,Comunas,femenino,Cerrado,18/06/2019
160,201906,LIMPIEZA Y RECOLECCION - RESIDUOS VOLUMINOSOS,SERVICIO,17/06/2019,12:14:18 p.m.,COMUNA 9,LINIERS,EL MIRASOL,259,147,masculino,Abierto,
161,201906,TRANSITO - DENUNCIA VIAL,DENUNCIA,17/06/2019,07:45:09 p.m.,COMUNA 14,PALERMO,MAURE,,App,masculino,Cerrado,21/06/2019
162,201906,MEDIOS DE TRANSPORTE - SUBTES,QUEJA,18/06/2019,09:22:40 a.m.,COMUNA 7,FLORES,RIVADAVIA AV.,,Web,femenino,Abierto,
163,201906,TRANSITO - DENUNCIA VIAL,DENUNCIA,21/06/2019,07:43:23 p.m.,COMUNA 12,VILLA PUEYRREDON,FAMAILLA,2795,App,masculino,Cerrado,25/06/2019
164,201906,LIMPIEZA Y RECOLECCION - RESIDUOS VOLUMINOSOS,SERVICIO,22/06/2019,03:16:53 p.m.,COMUNA 5,ALMAGRO,HUMAHUACA,4166,Web,femenino,Cerrado,30/06/2019
165,201906,TRANSITO - DENUNCIA VIAL,DENUNCIA,24/06/2019,07:18:38 a.m.,COMUNA 3,BALVANERA,TUCUMAN,2729,App,masculino,Cerrado,26/06/2019
166,201906,LIMPIEZA Y RECOLECCION - CESTOS Y CONTENEDORES,SOLICITUD,25/06/2019,12:53:30 p.m.,COMUNA 12,VILLA PUEYRREDON,GAVILAN,4450,147,masculino,Cerrado,28/06/2019
167,201906,ALUMBRADO - MAYOR ILUMINACION EN CALLE,SOLICITUD,26/06/2019,11:34:14 a.m.,COMUNA 10,FLORESTA,DOLORES,24,147,masculino,Cerrado,29/06/2019
168,201906,ALUMBRADO - REPARACION DE LUMINARIA,SOLICITUD,26/06/2019,12:07:06 p.m.,COMUNA 7,FLORES,CONDARCO,16,Comunas,masculino,Cerrado,28/06/2019
169,201906,LIMPIEZA Y RECOLECCION - RESIDUOS VOLUMINOSOS,SERVICIO,27/06/2019,04:14:54 p.m.,COMUNA 7,FLORES,LANUS,3148,147,femenino,Cerrado,30/06/2019
170,201906,TRANSITO - DENUNCIA VIAL,DENUNCIA,28/06/2019,10:55:05 a.m.,COMUNA 10,VERSALLES,PARIS,604,Comunas,masculino,Cerrado,29/06/2019
171,201906,LIMPIEZA Y RECOLECCION - CESTOS Y CONTENEDORES,SOLICITUD,30/06/2019,08:07:12 p.m.,COMUNA 9,PARQUE AVELLANEDA,ESCALADA AV.,1110,App,masculino,Cerrado,01/07/2019
172,201907,TRANSITO - DENUNCIA VIAL,DENUNCIA,01/07/2019,08:44:35 a.m.,COMUNA 15,PARQUE CHAS,DE LOS INCAS AV.,5475,App,masculino,Cerrado,03/07/2019
173,201907,ARBOLADO Y ESPACIOS VERDES - PROBLEMA CON INTERVENCIONES DE ARBOLADO,SOLICITUD,01/07/2019,06:23:36 p.m.,COMUNA 8,VILLA LUGANO,ALBARIÑO,,147,masculino,Abierto,
